date,average_temp,average_wind,precipitation
2021-01-28,30.02,45,3
2021-01-29,16.52,74,0
2021-01-30,12.559999999999999,39,0
2021-01-31,12.559999999999999,11,0
2021-02-01,16.88,47,15
2021-02-02,27.86,85,157
2021-02-03,33.26,43,0
2021-02-04,34.34,37,0
2021-02-05,28.759999999999998,17,20
2021-02-06,32.18,48,0
2021-02-07,26.42,32,58
2021-02-08,22.82,36,0
2021-02-09,17.06,22,28
2021-02-10,18.32,26,0
2021-02-11,18.86,32,0
2021-02-12,12.740000000000002,18,0
2021-02-13,17.42,18,0
2021-02-14,24.08,21,0
2021-02-15,24.259999999999998,21,3
2021-02-16,28.759999999999998,42,150
2021-02-17,26.060000000000002,31,0
2021-02-18,20.66,12,0
2021-02-19,24.62,34,15
2021-02-20,25.7,37,0
2021-02-21,24.439999999999998,43,0
2021-02-22,24.259999999999998,30,127
2021-02-23,34.52,25,0
2021-02-24,38.84,34,0
2021-02-25,39.019999999999996,75,0
2021-02-26,26.060000000000002,23,0
2021-02-27,31.28,35,163
2021-02-28,37.04,31,0
2021-03-01,38.84,46,122
2021-03-02,19.04,92,0
2021-03-03,24.259999999999998,20,0
2021-03-04,30.2,56,0
2021-03-05,22.28,59,0
2021-03-06,21.560000000000002,36,0
2021-03-07,23.9,20,0
2021-03-08,27.86,25,0
2021-03-09,37.04,34,0
2021-03-10,34.34,26,0
2021-03-11,43.34,34,0
2021-03-12,53.42,66,0
2021-03-13,38.12,63,0
2021-03-14,30.56,67,0
2021-03-15,16.52,80,0
2021-03-16,21.38,31,0
2021-03-17,33.08,26,0
2021-03-18,39.019999999999996,27,64
2021-03-19,32.54,64,0
2021-03-20,37.04,23,0
2021-03-21,42.26,25,0
2021-03-22,41.72,19,0
2021-03-23,41.18,21,0
2021-03-24,43.52,17,0
2021-03-25,45.86,12,5
2021-03-26,47.66,41,122
2021-03-27,46.94,39,0
2021-03-28,40.64,49,366
2021-03-29,42.26,68,13
2021-03-30,36.86,35,0
2021-03-31,47.66,47,15
2021-04-01,46.04,60,196
2021-04-02,32.18,46,0
2021-04-03,33.62,33,0
2021-04-04,41.0,52,0
2021-04-05,44.06,74,3
2021-04-06,48.019999999999996,49,0
2021-04-07,48.56,31,0
2021-04-08,51.980000000000004,25,0
2021-04-09,48.379999999999995,26,0
2021-04-10,52.519999999999996,29,0
2021-04-11,46.22,32,0
2021-04-12,44.78,43,0
2021-04-13,49.1,33,0
2021-04-14,46.22,23,0
2021-04-15,44.96,31,0
2021-04-16,39.38,76,305
2021-04-17,39.38,54,10
2021-04-18,44.6,22,0
2021-04-19,46.94,22,0
2021-04-20,51.08,36,0
2021-04-21,51.08,39,41
2021-04-22,37.22,77,0
2021-04-23,44.42,72,0
2021-04-24,56.480000000000004,36,0
2021-04-25,49.1,16,3
2021-04-26,45.86,64,0
2021-04-27,48.56,31,0
2021-04-28,50.72,15,38
2021-04-29,47.66,22,119
2021-04-30,49.28,37,163
2021-05-01,48.74,52,5
2021-05-02,55.400000000000006,51,0
2021-05-03,53.24,15,0
2021-05-04,49.64,24,5
2021-05-05,46.58,30,127
2021-05-06,51.620000000000005,43,0
2021-05-07,48.56,23,0
2021-05-08,46.4,30,0
2021-05-09,52.519999999999996,35,0
2021-05-10,54.5,28,10
2021-05-11,53.96,42,3
2021-05-12,51.980000000000004,44,0
2021-05-13,55.76,33,0
2021-05-14,58.64,28,0
2021-05-15,60.08,25,0
2021-05-16,59.540000000000006,20,0
2021-05-17,56.66,23,0
2021-05-18,61.16,30,0
2021-05-19,65.66,31,0
2021-05-20,56.66,27,0
2021-05-21,57.92,22,3
2021-05-22,64.22,13,0
2021-05-23,69.80000000000001,47,0
2021-05-24,56.120000000000005,43,0
2021-05-25,58.28,47,0
2021-05-26,71.42,45,38
2021-05-27,69.62,51,0
2021-05-28,52.879999999999995,35,8
2021-05-29,46.94,44,145
2021-05-30,48.56,47,193
2021-05-31,51.620000000000005,35,41
2021-06-01,60.980000000000004,34,0
2021-06-02,65.12,33,0
2021-06-03,62.78,36,8
2021-06-04,68.18,26,13
2021-06-05,70.52,34,0
2021-06-06,78.62,27,0
2021-06-07,80.06,29,0
2021-06-08,81.68,39,5
2021-06-09,78.08000000000001,28,3
2021-06-10,66.02,31,0
2021-06-11,57.74,17,0
2021-06-12,61.34,23,0
2021-06-13,68.18,38,0
2021-06-14,63.14,34,81
2021-06-15,61.88,14,13
2021-06-16,63.31999999999999,46,0
2021-06-17,63.5,32,0
2021-06-18,64.58000000000001,33,0
2021-06-19,71.42,29,30
