,date,sprague_miles,portland_pipeline_miles,south_portland_terminal_miles,gulf_oil_miles,global_miles,citgo_miles,daily complaints,average_temp,average_wind,precipitation,WDF5,WSF5,wind_direction,N,NNE,NE,ENE,E,ESE,SE,SSE,S,SSW,SW,WSW,W,WNW,NW,NNW
27,2020-04-04,0.2514943337366538,0.7798042695340736,0.1631697763429112,2.579951807101276,0.0885580609229446,0.9555042783764802,2,44.6,35,0,20,107,NNE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2020-04-06,1.1103004473298186,1.558681847462836,1.0912211479466738,3.5485937227705686,1.062260408528786,1.9022017329442915,2,48.02,41,0,290,148,WNW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
29,2020-04-07,0.7953349037617071,0.1301828933497167,0.7001502620843754,2.1670189410263463,0.6118448229692967,0.5382096322349817,4,45.32,26,0,140,94,SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2020-04-09,0.7560060885004136,0.1915724972198826,0.6663397380098559,2.1038046440307485,0.5883863323826171,0.4604578392295793,1,41.54,54,338,140,188,SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2020-04-10,1.504580440808989,0.6817925231915556,1.4005100876267504,2.538433409340698,1.2913308371894705,1.184236836771706,3,38.3,65,5,290,157,WNW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
32,2020-04-14,1.4436827080705943,0.6208598654761129,1.364922061964588,1.6621758463215448,1.2986807378446692,0.602656238877296,1,51.8,47,0,260,157,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
33,2020-04-15,2.191945098351943,1.4264565777930318,2.125339159180901,1.2389827716988286,2.073243725455264,1.251101359164846,2,45.86,35,0,280,134,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
34,2020-04-16,2.0445044599056623,1.3135073695113917,1.9813701252130849,1.1644311851665925,1.934048829601448,1.0963653331082674,3,39.38,34,0,290,125,WNW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35,2020-04-18,2.1551132961252324,1.4352585152358142,2.0940171434635184,1.0986332519539168,2.0490121993899826,1.203154424921861,1,40.46,39,33,50,94,NE,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2020-04-20,0.5118163537152726,0.6422556019093634,0.4144664056375108,2.62791028349112,0.3054752815244084,0.9706187576139332,8,49.1,41,0,270,125,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
37,2020-04-21,0.3660196820329599,0.6853529250856902,0.267846886113733,2.570915038785997,0.1598151030760309,0.925427413063641,1,39.74,46,41,150,161,SSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
38,2020-04-22,1.4926389472656283,0.8629836465937109,1.389627219464148,2.881222175950922,1.276021157489058,1.415287732132235,2,37.22,63,0,300,188,WNW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
39,2020-04-24,0.9180728912954472,0.0580240687248281,0.8200348098782231,2.194046454616531,0.7254467929456654,0.6101266835159573,4,43.16,33,0,70,116,ENE,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2020-04-25,0.5784459408753395,0.6472601960738573,0.4824261032117332,2.669593668345578,0.3743727373200161,1.0111403729552926,1,45.32,26,0,180,85,S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2020-04-26,0.4175284851779943,0.5929639932447783,0.3137093038929853,2.5031762415064405,0.2002264616341349,0.8508311087110799,6,44.42,38,5,50,161,NE,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,2020-04-28,2.2455066519561964,1.8018963689624603,2.217309373707072,0.3578807538824988,2.211278118469896,1.3524154494174918,11,42.44,43,0,40,125,NE,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2020-04-29,0.8494300210856539,0.1662740697522369,0.7630954135396031,2.0209415983516386,0.6895329758545127,0.4012541714453528,6,46.22,30,0,140,85,SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2020-05-01,1.3693930719679834,0.5477416203465156,1.2655539856046198,2.472192463937606,1.1571886967383431,1.0640754920603035,5,49.82,43,244,130,170,SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
45,2020-05-02,1.2886924565922708,0.3842042808034432,1.1886346771271274,2.235038206248806,1.0889998142077963,0.8444805073052638,14,55.94,55,3,310,179,NW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2020-05-03,1.1956653763425,0.4559002487030466,1.0912570502412409,2.5100466469731986,0.9807451672593358,1.0072892311344182,1,56.3,30,3,180,89,S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,2020-05-04,0.8772319761387881,0.3410783653148971,0.7727277342146337,2.475494968873389,0.6616089668895995,0.8627831911169391,9,55.58,51,0,330,139,NNW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2020-05-05,0.8606355044124804,0.1764435381335116,0.7587734609582008,2.3076268663369244,0.6563061309451692,0.6993502283827461,10,49.46,66,0,310,152,NW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2020-05-07,0.1248721130228397,0.8981201136201479,0.100132426571721,2.588291656637558,0.1578363743446744,1.001475509745905,4,49.64,39,0,310,98,NW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2020-05-08,0.8465514929589263,0.1521691182978816,0.7590094291107827,2.037424912150848,0.6835124318193466,0.418186172744193,6,50.540000000000006,52,25,300,188,WNW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
51,2020-05-09,0.8846222079965494,0.0412080354780343,0.7894883902644049,2.140558668717744,0.700564580007439,0.5428998237776821,6,41.0,80,89,310,215,NW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2020-05-10,0.7507516364890787,0.1764408007493212,0.6542690116716465,2.20198806976238,0.563893000513697,0.5627169675016309,8,43.16,61,0,280,165,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
53,2020-05-11,0.8806762124181667,0.0555716358075713,0.783714041796991,2.17761409282349,0.6914066731665752,0.578672281307847,2,51.44,38,51,170,107,S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,2020-05-12,1.504448701467593,0.6640310021072363,1.4007276234302397,2.4958785983068097,1.2926508542383637,1.1557601401661126,7,48.92,63,0,310,157,NW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2020-05-13,2.249625739324694,1.4483504715401616,2.178552362847205,1.3653035313022337,2.120544949587896,1.323136057277114,13,46.58,56,0,290,157,WNW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
56,2020-05-14,0.8997711865305601,0.2158026622625035,0.817746501991274,1.9447516025159917,0.750393699760976,0.3406278093686042,6,55.040000000000006,33,0,320,125,NW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2020-05-15,0.9655919727616782,0.0424009286710593,0.869460254619826,2.1415954225636917,0.7782222161371226,0.580965966560099,5,52.34,30,124,300,148,WNW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
58,2020-05-16,0.9345470331938238,0.0404716365828881,0.8410940004826772,2.0956593855695616,0.7548292471442679,0.5202878550522908,11,56.120000000000005,47,3,330,139,NNW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2020-05-17,0.4220808712954373,0.6631220562589565,0.3240573115122624,2.589741084314156,0.2152090457360791,0.9380434797065346,3,55.58,34,0,180,107,S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,2020-05-18,0.9713865452705562,0.3656395712472096,0.8668676028131648,2.4982044309323186,0.755477068527294,0.9110375251561176,9,57.02,24,0,150,85,SSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
61,2020-05-19,1.5006962679207592,0.690133354810926,1.3964551763498303,2.56398618938622,1.2866388585632398,1.1992597442790427,3,51.44,34,0,50,98,NE,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,2020-05-20,0.6793731876811816,0.4623944729700199,0.5754943329403742,2.537448303831604,0.4620689744412622,0.8857004143100489,7,53.24,28,0,200,116,SSW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
63,2020-05-22,0.8240091013879257,0.2566630756916686,0.7447048123768388,1.957731349747664,0.6824754892534631,0.3191143172710198,11,67.82,26,0,150,103,SSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
64,2020-05-23,0.8723680802871145,0.0572674551374161,0.7759464550085078,2.168524023270356,0.6847169619267286,0.566288927850951,9,59.36,42,0,110,139,ESE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,2020-05-24,0.877029814923064,0.1260230113934752,0.788354569251217,2.039569054560012,0.7106725225898387,0.4339955357679064,1,48.92,25,0,90,76,E,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,2020-05-25,0.7916054547861753,0.1349492120657161,0.6972700059111985,2.1544585295111083,0.6105793636605887,0.5239897007402485,2,49.28,14,0,90,54,E,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,2020-05-26,0.7961062451271479,0.1326201350228837,0.7024555701263585,2.142318787338388,0.6169750077167109,0.5126018112237848,1,58.64,26,0,150,85,SSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
68,2020-05-27,0.8439368492837315,0.0831321584691308,0.7477938972752273,2.1702443967846548,0.6572877356185628,0.5574522533476727,2,64.22,29,0,170,103,S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,2020-05-28,0.1349971137379705,0.8063513069905481,0.0312258537906322,2.492021492142209,0.0825164826194648,0.8969912256410787,3,71.42,45,0,220,116,SW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
70,2020-05-30,0.4434760601200554,0.7518501091343998,0.3577412128619326,2.6893450520879494,0.2649507712452029,1.0389186443920833,8,70.88,37,3,270,134,W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
71,2020-05-31,0.8734390929620899,0.3732128123202213,0.8049626156248612,1.831635157532056,0.7576780044389433,0.1884148321541509,18,61.88,60,0,300,152,WNW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
72,2020-06-01,0.9937132970410986,0.1739951399126186,0.907063811902162,1.963032006654068,0.8316327543393006,0.4199243421616915,7,51.26,38,0,310,143,NW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,2020-06-02,0.720206293551193,0.2412812261599032,0.6335638396517476,2.087126844195609,0.5613081980405306,0.4350149285040362,3,54.32,33,5,150,103,SSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
74,2020-06-03,1.0330989681945024,0.5106319923107803,0.9294065406209672,2.6410051639209087,0.8158948170131298,1.0550629157263929,7,58.46,20,8,150,67,SSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
75,2020-06-04,0.8895839013014862,0.4303261553317172,0.7854435296150666,2.5646747559389524,0.6722636341697662,0.947995398979328,5,64.75999999999999,33,0,200,116,SSW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
76,2020-06-06,0.8947232815756414,0.2581395922723566,0.8160195434112081,1.9108492094894016,0.7537469511833736,0.2983066830486438,5,70.88,20,28,340,130,NNW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,2020-06-08,0.8362872710905427,0.222195171652006,0.7542189835332562,1.978749594753795,0.6875764994723427,0.3482140122341312,7,64.4,47,0,290,134,WNW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,2020-06-09,0.959322153485493,0.4521722543562243,0.8963123240809867,1.7262908013823546,0.8552676731317691,0.1113962239069956,2,65.66,16,0,310,63,NW,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,2020-06-10,0.6666375730298585,1.0296475614072234,0.6143930756444753,3.015148571580415,0.555821466305608,1.3632851875483534,1,58.46,35,5,90,81,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,2020-06-12,0.8882678368308916,0.4878829587259054,0.8308731628608496,1.743844656481598,0.7982156507883066,0.0854128184594189,7,69.98,30,0,190,125,S,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,2020-06-13,0.3296012681650371,1.2378000041766375,0.4341149964810022,2.595508712578978,0.5461767260906757,1.1725307680050616,5,64.4,30,0,10,85,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
84,2020-06-14,0.8408303766861467,0.120324736160767,0.7503987211343085,2.0786752711907046,0.6701300266530189,0.4605629857247117,3,60.98,35,0,90,76,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
85,2020-06-15,0.977764865977508,0.091403848182183,0.8861105022635483,2.050452816131803,0.8026423259378364,0.4982452538408127,6,59.540000000000006,24,0,160,67,SSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
86,2020-06-16,1.5705269251647855,0.7791322639563577,1.496559654281538,1.5265593784908322,1.4364609411462954,0.6783352667936156,8,64.03999999999999,21,0,150,81,SSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,2020-06-17,1.6775356043769358,0.8794660255513226,1.6037176193074425,1.491150277737385,1.5434479122215083,0.7785362062880072,2,65.48,29,0,150,89,SSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,2020-06-18,2.049480868144811,1.318371583232483,1.9863647760349528,1.16312226916306,1.9390543531540287,1.1012806702332818,10,71.06,27,0,180,94,S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
89,2020-06-19,2.715100163983373,2.1664873950370223,2.677722832820997,0.5401885285647412,2.660215648761985,1.7857234332180496,7,77.36,32,0,180,116,S,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,2020-06-20,0.7886648614841155,0.8920854801663124,0.7110057889137228,2.9638578168885537,0.6212650301476819,1.3061080255169637,9,80.78,22,0,160,76,SSE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,2020-06-21,2.209774789137259,1.415109609480163,2.139432367801092,1.3418102230211382,2.082456178994837,1.2809256230107933,14,69.62,31,0,90,81,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
92,2020-06-22,1.0330741017972656,0.3372456462810985,0.9573254579380286,1.7997050969926496,0.8979000419153373,0.2795163641615106,11,65.12,28,0,100,81,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,2020-06-23,0.8819192278601867,0.3826308098654928,0.8142254577523246,1.8194694349501035,0.767897821446152,0.1773053137415444,7,66.92,27,0,140,76,SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
94,2020-06-24,0.7676966655366197,0.3735445443145366,0.6989678906105518,1.910016924857666,0.6531646187690721,0.251678549215372,3,70.16,34,0,320,98,NW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,2020-06-25,1.8032044153548767,0.940026343998956,1.721663798052996,1.6561558445760842,1.6503806090040452,0.9555241087503924,7,71.6,31,0,200,107,SSW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
